Year,GDP,Aboard,Master,Phd,High,Junior,BA,Primary,M$P Schools,P schools,,,,,,,,,,
2004,161840.2,2.4726,15.0777,2.3446,560.7914,2155.062,239.1,504.103117,1731,394183,,,,,,,,,,
2003,137422,2.0152,11.1091,2.2312,476.1705341,1829.872968,187.7,428.0448155,1552,425846,,,,,,,,,,
2002,121717.4,1.7945,10.2232,2.0121,421.7537175,1620.754901,133.7,379.1278109,1396,456903,,,,,,,,,,
2001,110863.1,1.2243,8.2321,1.9212,384.143307,1476.222074,103.6,345.3186185,1225,491273,,,,,,,,,,
2000,100280.1,0.9121,7.2312,1.7212,347.4729576,1335.301802,95,312.3544767,1041,553622,,,,,,,,,,
1999,90564.4,0.7748,6.3123,1.6821,313.8078235,1205.930254,84.8,282.0918186,1071,582291,,,,,,,,,,
1998,85195.5,0.7379,5.2313,1.6129,295.2044559,1134.439482,83,265.3686606,1022,609626,,,,,,,,,,
1997,79715,0.713,4.9213,1.5821,276.2143916,1061.462674,82.9,248.2978888,1020,628840,,,,,,,,,,
1996,71813.6,0.657,4.5321,1.4217,248.8358506,956.249839,83.9,223.6864488,1032,645983,,,,,,,,,,
1995,61339.9,0.575,3.2144,1.3782,212.5442283,816.7849752,80.5,191.0627569,1054,668685,,,,,,,,,,
1994,48637.5,0.423,2.2312,1.298,168.5301069,647.6433648,63.7,151.4970653,1080,682588,,,,,,,,,,
1993,35673.2,0.5128,1.2312,1.1232,123.6084957,475.0143671,57.1,111.1156024,1065,696681,,,,,,,,,,
1992,27194.5,0.3611,0.9231,1.0232,94.22959635,362.1143662,60.4,84.70597674,1053,712973,,,,,,,,,,
1991,22005.6,0.2069,0.8988,0.9232,76.24993309,293.0204231,61.4,68.54348643,1075,729158,,,,,,,,,,
1990,18872.9,0.1593,0.7231,0.8231,65.39505227,251.3062649,61.4,58.78568933,1075,766072,,,,,,,,,,
1989,17179.7,0.1753,0.6923,0.8921,59.52807356,228.7600866,57.6,53.51167584,1075,777244,,,,,,,,,,
1988,15180.4,0.3,0.6532,1.3213,52.60045099,202.1379663,55.3,47.2842159,1075,793261,,,,,,,,,,
1987,12174.6,0.1605,0.5982,0.7231,42.18528172,162.113573,53.2,37.92168947,1063,807406,,,,,,,,,,
1986,10376.2,0.1388,0.5823,0.6321,35.95378248,138.166581,39.3,32.31999691,1054,820846,,,,,,,,,,
1985,9098.9,0.1424,0.5223,0.7879,31.52790727,121.1584109,31.6,28.34143712,1016,832309,,,,,,,,,,
1984,7278.5,0.229,0.4891,0.932,25.2201775,96.918473,28.7,22.67121851,902,853740,,,,,,,,,,
1983,6020.9,0.2303,0.4234,0.1823,20.86256326,80.17262267,33.5,18.75402068,805,862165,,,,,,,,,,
1982,5373.4,0.2116,0.4058,0.1632,18.61896019,71.55069353,45.7,16.73717463,715,880516,,,,,,,,,,
1981,4935.8,0.1143,0.4331,0.3287,17.10266567,65.72373416,14,15.37412933,704,894074,,,,,,,,,,
1980,4587.6,0.0162,0.4212,0.1321,15.8961443,61.08720021,14.7,14.28954895,675,917316,,,,,,,,,,
1979,4100.5,0.0231,0.3923,0.293,14.20833109,54.60111267,8.5,12.77232005,633,923532,,,,,,,,,,
1978,3678.7,0.0248,0.3421,0.212,12.74678395,48.98454168,16.5,11.45848891,598,949323,,,,,,,,,,
1977,3250,0.027,0.3121,0.021,11.26132814,43.27609223,19.4,10.12316551,404,982291,,,,,,,,,,
1976,2988.6,0.0189,0.632,0.011,10.35557086,39.79536284,14.9,9.308951519,392,1044274,,,,,,,,,,
1975,3039.5,0.0186,0.0313,0.009,10.53194058,40.47313302,11.9,9.467495865,387,1093317,,,,,,,,,,
1974,2827.7,0.007,0.0821,0.002,9.798048487,37.65286338,4.3,8.807776956,378,1053297,,,,,,,,,,
1973,2756.2,0,0.0001,0,9.550299268,36.70078935,3,8.585067315,345,1031705,,,,,,,,,,
1972,2552.4,0,0,0,8.844127368,33.98704548,1.7,7.950266967,331,1009205,,,,,,,,,,
1971,2456.9,0,0,0,8.513217572,32.71539415,0.6,7.652801642,328,968541,,,,,,,,,,
1970,2279.7,0,0,0,7.899215312,30.35584844,10.3,7.10085551,434,961131,,,,,,,,,,
