Year,GDP,Oversea Graduates,High-level Graduates,Phd Graduates,Master Graduates,BA Graduates,Primary-level Graduates,High School Graduates,Junior School Graduates,Primary School Graduates,High-level Educational Institutions,Primary-level Educational Institutions
2002,121717.4,1.7945,143.7962,2.0121,8.0841,133.7,2421.636429,421.7537175,1620.754901,379.1278109,1396,456903
2001,110863.1,1.2243,112.3021,1.9212,6.7809,103.6,2205.684,384.143307,1476.222074,345.3186185,1225,491273
2000,100280.1,0.9121,102.5979,1.7212,5.8767,95,1995.129236,347.4729576,1335.301802,312.3544767,1041,553622
1999,90564.4,0.7748,91.9491,1.6821,5.467,84.8,1801.829896,313.8078235,1205.930254,282.0918186,1071,582291
1998,85195.5,0.7379,89.3206,1.6129,4.7077,83,1695.012599,295.2044559,1134.439482,265.3686606,1022,609626
1997,79715,0.713,89.136,1.5821,4.6539,82.9,1585.974954,276.2143916,1061.462674,248.2978888,1020,628840
1996,71813.6,0.657,89.2869,1.4217,3.9652,83.9,1428.772138,248.8358506,956.249839,223.6864488,1032,645983
1995,61339.9,0.575,85.0659,1.3782,3.1877,80.5,1220.39196,212.5442283,816.7849752,191.0627569,1054,668685
1994,48637.5,0.423,67.8027,1.298,2.8047,63.7,967.670537,168.5301069,647.6433648,151.4970653,1080,682588
1993,35673.2,0.5128,61.0446,1.1232,2.8214,57.1,709.7384652,123.6084957,475.0143671,111.1156024,1065,696681
1992,27194.5,0.3611,63.9924,1.0232,2.5692,60.4,541.0499393,94.22959635,362.1143662,84.70597674,1053,712973
1991,22005.6,0.2069,65.5769,0.9232,3.2537,61.4,437.8138426,76.24993309,293.0204231,68.54348643,1075,729158
1990,18872.9,0.1593,65.7671,0.8231,3.544,61.4,375.4870065,65.39505227,251.3062649,58.78568933,1075,766072
1989,17179.7,0.1753,62.2153,0.8921,3.7232,57.6,341.799836,59.52807356,228.7600866,53.51167584,1075,777244
1988,15180.4,0.3,60.7051,1.3213,4.0838,55.3,302.0226332,52.60045099,202.1379663,47.2842159,1075,793261
1987,12174.6,0.1605,56.6834,0.7231,2.7603,53.2,242.2205442,42.18528172,162.113573,37.92168947,1063,807406
1986,10376.2,0.1388,41.6271,0.6321,1.695,39.3,206.4403604,35.95378248,138.166581,32.31999691,1054,820846
1985,9098.9,0.1424,34.0883,0.7879,1.7004,31.6,181.0277553,31.52790727,121.1584109,28.34143712,1016,832309
1984,7278.5,0.229,29.9076,0.932,0.2756,28.7,144.809869,25.2201775,96.918473,22.67121851,902,853740
1983,6020.9,0.2303,34.132,0.1823,0.4497,33.5,119.7892066,20.86256326,80.17262267,18.75402068,805,862165
1982,5373.4,0.2116,46.269,0.1632,0.4058,45.7,106.9068284,18.61896019,71.55069353,16.73717463,715,880516
1981,4935.8,0.1143,15.4956,0.3287,1.1669,14,98.20052916,17.10266567,65.72373416,15.37412933,704,894074
1980,4587.6,0.0162,14.8797,0.1321,0.0476,14.7,91.27289346,15.8961443,61.08720021,14.28954895,675,917316
1979,4100.5,0.0231,8.807,0.293,0.014,8.5,81.58176381,14.20833109,54.60111267,12.77232005,633,923532
1978,3678.7,0.0248,16.7129,0.212,0.0009,16.5,73.18981454,12.74678395,48.98454168,11.45848891,598,949323
1977,3250,0.027,19.421,0.021,0,19.4,64.66058588,11.26132814,43.27609223,10.12316551,404,982291
1976,2988.6,0.0189,14.911,0.011,0,14.9,59.45988522,10.35557086,39.79536284,9.308951519,392,1044274
1975,3039.5,0.0186,11.909,0.009,0,11.9,60.47256947,10.53194058,40.47313302,9.467495865,387,1093317
1974,2827.7,0.007,4.302,0.002,0,4.3,56.25868882,9.798048487,37.65286338,8.807776956,378,1053297
1973,2756.2,0,3,0,0,3,54.83615593,9.550299268,36.70078935,8.585067315,345,1031705
1972,2552.4,0,1.7,0,0,1.7,50.78143982,8.844127368,33.98704548,7.950266967,331,1009205
1971,2456.9,0,0.6,0,0,0.6,48.88141336,8.513217572,32.71539415,7.652801642,328,968541
1970,2279.7,0,10.3,0,0,10.3,45.35591926,7.899215312,30.35584844,7.10085551,434,961131
